"","gene","TCGA","AUS","CA","TCGA2","AUS2","CA2","sum","abs"
"2","ENSG00000000419",-0.0123339171054742,-0.165921488903572,-0.0494118933984584,-1,-1,-1,-3,3
"4","ENSG00000000938",0.18438661769239,0.083367523957143,0.297994905085978,1,1,1,3,3
"8","ENSG00000001167",0.0170927790072088,0.0736494938214287,0.163114047834514,1,1,1,3,3
"19","ENSG00000002330",-0.2653450556251,-0.0259556750321428,-0.180793723971957,-1,-1,-1,-3,3
"21","ENSG00000002586",-0.131273804551668,-0.252763492346429,-0.00906104865516166,-1,-1,-1,-3,3
"22","ENSG00000002587",-0.38099993607717,-0.0366445101785713,-0.207295293628043,-1,-1,-1,-3,3
"26","ENSG00000002834",0.0306925944363154,0.057381426500001,0.11431735230755,1,1,1,3,3
"40","ENSG00000003989",0.105951217043791,0.00772095278928653,0.69569500737812,1,1,1,3,3
"42","ENSG00000004139",0.0394686321070763,0.0274052887214289,0.150858408199076,1,1,1,3,3
"57","ENSG00000004864",0.0520788981340452,0.0064854133392851,0.0411686196856706,1,1,1,3,3
"59","ENSG00000004961",-0.00990089914125569,-0.246106773725,-0.0182695612631747,-1,-1,-1,-3,3
"62","ENSG00000005007",-0.0406234028899863,-0.0451272863892864,-0.128319607846224,-1,-1,-1,-3,3
"66","ENSG00000005075",-0.163868650318292,-0.0688343971357144,-0.0485145767211099,-1,-1,-1,-3,3
"70","ENSG00000005175",-0.0288129691108141,-0.162191523128572,-0.0546118604298922,-1,-1,-1,-3,3
"71","ENSG00000005187",0.0980547157044054,0.0135638420749995,0.00596110678674933,1,1,1,3,3
"74","ENSG00000005238",-0.218545247485714,-0.0409661214071431,-0.285637825734669,-1,-1,-1,-3,3
"80","ENSG00000005421",0.027805571445661,0.0434997261178571,0.159773729158706,1,1,1,3,3
"83","ENSG00000005469",-0.00874035238638182,-0.148971355696428,-0.164486184892757,-1,-1,-1,-3,3
"85","ENSG00000005483",0.176162895787717,0.233998975717856,0.0144519240989212,1,1,1,3,3
"86","ENSG00000005486",-0.0973051731668892,-0.0556249926321426,-0.107543273529122,-1,-1,-1,-3,3
"88","ENSG00000005700",-0.0190245353975973,-0.0846135198535727,-0.0418783311833586,-1,-1,-1,-3,3
"91","ENSG00000005812",0.12798955259733,0.0158713194000004,0.0370929268890601,1,1,1,3,3
"92","ENSG00000005844",0.167384087210948,0.167026163185714,0.339347144469953,1,1,1,3,3
"93","ENSG00000005882",0.0172928019276366,0.0466442661321427,0.0700042187451464,1,1,1,3,3
"98","ENSG00000006015",-0.240679590594125,-0.0365377840642855,-0.142255905085363,-1,-1,-1,-3,3
"99","ENSG00000006016",-0.0831727587919895,-0.106147385003571,-0.157462645567643,-1,-1,-1,-3,3
"102","ENSG00000006062",0.129012133109479,0.128172128864286,0.0474735832702624,1,1,1,3,3
"103","ENSG00000006071",-0.276420905206676,-0.795008772482143,-0.251491005959939,-1,-1,-1,-3,3
"105","ENSG00000006125",0.0582426781586118,0.00612054276071561,0.1446679870604,1,1,1,3,3
"107","ENSG00000006210",-0.0459392965676901,-0.379489598435714,-0.373115343373498,-1,-1,-1,-3,3
"108","ENSG00000006282",-0.14018632848705,-0.212749788003571,-0.0076118180166409,-1,-1,-1,-3,3
"109","ENSG00000006327",-0.0637051410555411,-0.28599127435,-0.0765835246446844,-1,-1,-1,-3,3
"110","ENSG00000006432",0.121284000186649,0.109477571592857,0.0556358947858246,1,1,1,3,3
