"","Var1","Freq","GeneSymbol"
"1","ENSG00000048740",10,"CELF2"
"2","ENSG00000069431",10,"ABCC9"
"4","ENSG00000102890",5,"ELMO3"
"5","ENSG00000104894",9,"CD37"
"6","ENSG00000107186",10,"MPDZ"
"7","ENSG00000113263",10,"ITK"
"9","ENSG00000129354",10,"AP1M2"
"10","ENSG00000137648",10,"TMPRSS4"
"11","ENSG00000141338",9,"ABCA8"
"12","ENSG00000141540",9,"TTYH2"
"13","ENSG00000149260",10,"CAPN5"
"14","ENSG00000159403",10,"C1R"
"16","ENSG00000168685",10,"IL7R"
"18","ENSG00000181007",8,"ZFP82"
"20","ENSG00000198771",6,"RCSD1"
